Accomack 	33115	17.7	15.9	16.1	21.9	28.6
Albemarle 	103108	17.4	22.5	17.9	20.4	22.2
Alleghany 	16066	15.9	15.6	16	21.9	30.6
Amelia 	12777	17.8	15.6	15.9	25.6	25.1
Amherst 	32148	16.4	19	16.7	22.3	25.6
Appomattox 	15208	17.9	17.3	18.2	21.4	25.1
Arlington 	223945	14.5	25.3	28.8	17.7	13.7
Augusta 	74053	16.3	17	17.9	23.2	25.6
Bath 	4583	15.8	13.8	15.1	26.2	29
Bedford 	76463	17	16.1	16.6	24.4	25.9
Bland 	6662	13.5	15.9	20.9	22.9	26.9
Botetourt 	33155	16.6	15.6	15.9	24.9	26.9
Brunswick 	16930	14.4	20.3	18.3	21.4	25.6
Buchanan 	23486	14.5	17	18	24.8	26
Buckingham 	17068	16	18.3	19.9	22.6	23.3
Campbell 	55012	16.8	19.3	17.7	22	24.3
Caroline 	29349	19.3	18.7	20.1	22.2	19.7
Carroll 	29856	16	15.3	17.1	23.1	28.4
Charles_City 	7118	13.7	15.3	15.3	26.7	29.1
Charlotte 	12313	17.4	18	15.4	20.6	28.8
Chesterfield 	328176	20.2	19.4	20.1	22.1	18.2
Clarke 	14299	16.9	16	16.4	25.6	25.1
Craig 	5212	20.1	10.4	18	23.9	27.8
Culpeper 	48424	21.4	17.9	19.5	22.1	19.3
Cumberland 	9859	17.1	18.7	15.1	24	25.1
Dickenson 	15463	16.9	16.6	18.8	21.4	26.3
Dinwiddie 	28110	17.2	18.6	18.1	23.6	22.5
Essex 	11151	16.5	17.8	16.2	22.6	26.9
Fairfax 	1128722	20.1	19	22.3	22	16.8
Fauquier 	67463	19.7	17.3	17.8	23.7	21.5
Floyd 	15523	17.3	14.4	18	21.1	29.1
Fluvanna 	26014	17.9	16.2	20	22.1	23.6
Franklin 	56315	16.2	17.2	16.5	22	27.9
Frederick 	81340	19.8	18	19.4	22.5	20.5
Giles 	16907	16.6	16.9	17.9	21.5	27.1
Gloucester 	37001	16.8	17.2	17.8	24.8	23.3
Goochland 	21721	15.6	13.7	17.1	27	26.6
Grayson 	15573	14.5	15.8	16.9	23	29.9
Greene 	18938	20.4	17.2	19.4	20.9	22.1
Greensville 	11760	13.8	17.9	22.7	25	20.8
Halifax 	35506	17.3	16.3	16	21.5	28.8
Hanover 	101340	18.6	18.2	17.7	24.2	21.3
Henrico 	318864	19.6	19.4	20.9	20.9	19.2
Henry 	52580	16.6	15.8	16.3	23.1	28
Highland 	2244	12.3	8.9	10.1	21.3	47.6
Isle_of_Wight 	35740	17.1	16.7	16.7	25.2	24.2
James_City 	70673	16.8	16.6	16	20.4	30.2
King_and_Queen 	7106	16.4	15.3	16.7	22.2	29.4
King_George 	24933	21.5	19.1	20.3	22.4	16.8
King_William 	16097	20	17.3	19.3	22.5	21
Lancaster 	11129	12.6	12.8	11	20.7	42.7
Lee 	25206	15.9	16.5	20.4	22.7	24.3
Loudoun 	351129	25.2	16.6	25.5	21.1	11.5
Louisa 	33986	17.6	16.1	18.1	23.7	24.6
Lunenburg 	12558	16.6	15.7	18.1	22.4	27.2
Madison 	13147	17.1	18.3	15.3	21.4	27.9
Mathews 	8880	11.8	16.3	12.8	22.4	36.8
Mecklenburg 	31555	15.7	15.7	15.9	22.5	30.2
Middlesex 	10717	13	14.3	12.7	21.5	38.5
Montgomery 	96467	13.2	40.1	16.1	15.1	15.4
Nelson 	14858	16	16.1	14.7	20.5	32.8
New_Kent 	19560	17.6	16.4	19	24.9	22.2
Northampton 	12184	16.9	15	14	21.3	32.8
Northumberland 	12304	12.7	12.2	11.1	21.1	42.8
Nottoway 	15711	16.9	18.5	19.1	21.4	24
Orange 	34596	18.3	16.7	17.5	20.9	26.5
Page 	23843	16.6	16.9	17.5	22.3	26.6
Patrick 	18264	14	14.7	16.5	23.9	31
Pittsylvania 	62794	16.4	16.1	16.9	23.8	26.7
Powhatan 	28207	15.8	17.3	19.4	25.8	21.6
Prince_Edward 	23022	13.1	36	13.4	16.7	20.7
Prince_George 	37380	18.1	19.9	23.6	21.3	17
